MMR ROM Structure Analysis
============================================================

ROM size: 4194816 bytes (4.00 MB)
Header offset: 0

Code/Table banks: 94
Data banks: 34
Empty banks: 0

Bank details:
Bank   ROM Addr  Entropy   Zero%    FF%     Type
--------------------------------------------------
$29   0x348000     6.658   11.2%   0.8% CODE/TBL
$2A   0x350000     5.612   17.3%  24.2% CODE/TBL
$2B   0x358000     5.700   10.0%  11.1% CODE/TBL
$2C   0x360000     5.863    7.6%   5.4% CODE/TBL
$2D   0x368000     4.147    2.8%  51.9% CODE/TBL
$2E   0x370000     5.129    3.7%  28.8% CODE/TBL
$2F   0x378000     5.196    3.5%  28.0% CODE/TBL
$30   0x380000     4.772    2.2%  35.4% CODE/TBL
$31   0x388000     3.906    3.5%  51.6% CODE/TBL
$32   0x390000     4.803    1.5%  37.4% CODE/TBL
$33   0x398000     2.917    1.3%  67.4% CODE/TBL
$34   0x3A0000     0.000    0.0% 100.0% CODE/TBL
$35   0x3A8000     0.000    0.0% 100.0% CODE/TBL
$36   0x3B0000     0.000    0.0% 100.0% CODE/TBL
$37   0x3B8000     0.000    0.0% 100.0% CODE/TBL
$38   0x3C0000     0.000    0.0% 100.0% CODE/TBL
$39   0x3C8000     0.000    0.0% 100.0% CODE/TBL
$3A   0x3D0000     3.397   43.1%  31.4% CODE/TBL
$3B   0x3D8000     3.804   11.1%  53.0% CODE/TBL
$3C   0x3E0000     5.317    9.1%  30.1% CODE/TBL
$3D   0x3E8000     6.212   12.2%  17.2% CODE/TBL
$3E   0x3F0000     2.730    4.6%  71.0% CODE/TBL
$3F   0x3F8000     2.647    3.7%  72.3% CODE/TBL
